Notes,County,County Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,"Baldwin County, AL",1003,27,175827,15.4,15.6
,"Blount County, AL",1009,17,57055,Unreliable,Unreliable
,"Calhoun County, AL",1015,21,117274,17.9,18.8
,"Cullman County, AL",1043,11,80273,Unreliable,Unreliable
,"DeKalb County, AL",1049,11,70228,Unreliable,Unreliable
,"Etowah County, AL",1055,20,104206,19.2,21.3
,"Houston County, AL",1069,13,99183,Unreliable,Unreliable
,"Jefferson County, AL",1073,75,656510,11.4,11.2
,"Lauderdale County, AL",1077,18,92202,Unreliable,Unreliable
,"Limestone County, AL",1083,14,78835,Unreliable,Unreliable
,"Madison County, AL",1089,26,323526,8,8
,"Mobile County, AL",1097,60,409196,14.7,14.8
,"Montgomery County, AL",1101,10,227461,Unreliable,Unreliable
,"Morgan County, AL",1103,22,117694,18.7,18.3
,"Russell County, AL",1113,10,51434,Unreliable,Unreliable
,"Shelby County, AL",1117,45,188534,23.9,22.3
,"Tuscaloosa County, AL",1125,33,188093,17.5,19.7
,"Walker County, AL",1127,35,67835,51.6,54
,"Anchorage Borough, AK",2020,60,281554,21.3,20.6
,"Fairbanks North Star Borough, AK",2090,14,94552,Unreliable,Unreliable
,"Kenai Peninsula Borough, AK",2122,10,53655,Unreliable,Unreliable
,"Matanuska-Susitna Borough, AK",2170,20,84079,23.8,23.9
,"Cochise County, AZ",4003,15,129023,Unreliable,Unreliable
,"Coconino County, AZ",4005,16,131853,Unreliable,Unreliable
,"Maricopa County, AZ",4013,526,3771061,13.9,14.3
,"Mohave County, AZ",4015,35,200078,17.5,18
,"Navajo County, AZ",4017,10,107626,Unreliable,Unreliable
,"Pima County, AZ",4019,121,967778,12.5,13.1
,"Pinal County, AZ",4021,29,335311,8.6,9.1
,"Yavapai County, AZ",4025,38,211211,18,20
,"Yuma County, AZ",4027,14,191202,Unreliable,Unreliable
,"Benton County, AR",5007,27,210807,12.8,13.5
,"Craighead County, AR",5031,17,93316,Unreliable,Unreliable
,"Crawford County, AR",5033,12,60933,Unreliable,Unreliable
,"Faulkner County, AR",5045,15,108477,Unreliable,Unreliable
,"Garland County, AR",5051,23,95636,24,25.7
,"Lonoke County, AR",5085,10,66086,Unreliable,Unreliable
,"Pulaski County, AR",5119,37,376567,9.8,9.9
,"Saline County, AR",5125,17,102599,Unreliable,Unreliable
,"Sebastian County, AR",5131,25,123762,20.2,20.1
,"Washington County, AR",5143,11,197223,Unreliable,Unreliable
,"Alameda County, CA",6001,157,1477208,10.6,10.1
,"Butte County, CA",6007,68,219034,31,31.5
,"Contra Costa County, CA",6013,115,1023344,11.2,10.5
,"El Dorado County, CA",6017,30,179150,16.7,15.7
,"Fresno County, CA",6019,94,909630,10.3,11.4
,"Humboldt County, CA",6023,49,132657,36.9,37.4
,"Imperial County, CA",6025,12,167917,Unreliable,Unreliable
,"Kern County, CA",6029,122,818327,14.9,15.6
,"Kings County, CA",6031,12,152027,Unreliable,Unreliable
,"Lake County, CA",6033,18,64392,Unreliable,Unreliable
,"Lassen County, CA",6035,13,35221,Unreliable,Unreliable
,"Los Angeles County, CA",6037,707,9735147,7.3,7.1
,"Madera County, CA",6039,11,148359,Unreliable,Unreliable
,"Marin County, CA",6041,32,248398,12.9,10.9
,"Mendocino County, CA",6045,18,87468,Unreliable,Unreliable
,"Merced County, CA",6047,27,250538,10.8,12
,"Monterey County, CA",6053,44,406022,10.8,10.9
,"Napa County, CA",6055,16,134093,Unreliable,Unreliable
,"Nevada County, CA",6057,13,98200,Unreliable,Unreliable
,"Orange County, CA",6059,324,2957593,11,10.6
,"Placer County, CA",6061,41,337568,12.1,12.3
,"Riverside County, CA",6065,219,2109712,10.4,10.8
,"Sacramento County, CA",6067,260,1394438,18.6,18.4
,"San Bernardino County, CA",6071,109,2003735,5.4,5.6
,"San Diego County, CA",6073,361,3022116,11.9,11.7
,"San Francisco County, CA",6075,173,791152,21.9,19.2
,"San Joaquin County, CA",6077,106,671692,15.8,16.3
,"San Luis Obispo County, CA",6079,27,266358,10.1,10.5
,"San Mateo County, CA",6081,56,703830,8,7.1
,"Santa Barbara County, CA",6083,44,415859,10.6,10.7
,"Santa Clara County, CA",6085,114,1740964,6.5,6.2
,"Santa Cruz County, CA",6087,31,256520,12.1,11.4
,"Shasta County, CA",6089,57,177247,32.2,33.5
,"Siskiyou County, CA",6093,10,44780,Unreliable,Unreliable
,"Solano County, CA",6095,44,408972,10.8,10.4
,"Sonoma County, CA",6097,75,473091,15.9,14.3
,"Stanislaus County, CA",6099,66,509032,13,13.4
,"Sutter County, CA",6101,12,93855,Unreliable,Unreliable
,"Tehama County, CA",6103,11,62648,Unreliable,Unreliable
,"Tulare County, CA",6107,19,429283,Unreliable,Unreliable
,"Tuolumne County, CA",6109,10,56320,Unreliable,Unreliable
,"Ventura County, CA",6111,80,806353,9.9,9.7
,"Yolo County, CA",6113,13,197154,Unreliable,Unreliable
,"Adams County, CO",8001,64,424913,15.1,15.4
,"Arapahoe County, CO",8005,94,552461,17,16.2
,"Boulder County, CO",8013,43,290859,14.8,13.8
,"Denver County, CO",8031,170,575721,29.5,29.2
,"El Paso County, CO",8041,96,597919,16.1,15.3
,"Fremont County, CO",8043,13,47166,Unreliable,Unreliable
,"Jefferson County, CO",8059,66,529003,12.5,12.4
,"Larimer County, CO",8069,44,291650,15.1,14.4
,"Mesa County, CO",8077,21,143155,14.7,15.7
,"Pueblo County, CO",8101,26,156748,16.6,16.4
,"Weld County, CO",8123,18,243442,Unreliable,Unreliable
,"Fairfield County, CT",9001,86,903824,9.5,9.4
,"Hartford County, CT",9003,86,887891,9.7,9.6
,"Litchfield County, CT",9005,27,190175,14.2,14.9
,"Middlesex County, CT",9007,22,164962,13.3,13.6
,"New Haven County, CT",9009,117,856622,13.7,13.4
,"New London County, CT",9011,24,272634,8.8,8.3
,"Windham County, CT",9015,16,117888,Unreliable,Unreliable
,"Kent County, DE",10001,14,157925,Unreliable,Unreliable
,"New Castle County, DE",10003,80,533958,15,14.7
,"Sussex County, DE",10005,30,191991,15.6,17.3
,"District of Columbia, DC",11001,56,580236,9.7,9.6
,"Alachua County, FL",12001,19,244888,Unreliable,Unreliable
,"Bay County, FL",12005,28,166267,16.8,16.9
,"Brevard County, FL",12009,125,542378,23,23.5
,"Broward County, FL",12011,314,1723633,18.2,17.5
,"Citrus County, FL",12017,30,142122,21.1,29.1
,"Clay County, FL",12019,25,187289,13.3,13.3
,"Collier County, FL",12021,63,316641,19.9,22.2
,"Columbia County, FL",12023,12,67318,Unreliable,Unreliable
,"Duval County, FL",12031,109,855437,12.7,12.4
,"Escambia County, FL",12033,40,296854,13.5,13.6
,"Hernando County, FL",12053,50,172437,29,35.5
,"Hillsborough County, FL",12057,246,1196773,20.6,19.9
,"Indian River County, FL",12061,34,136277,24.9,27.3
,"Lake County, FL",12069,30,293654,10.2,12.1
,"Lee County, FL",12071,95,610984,15.5,16.5
,"Leon County, FL",12073,19,271130,Unreliable,Unreliable
,"Manatee County, FL",12081,55,318766,17.3,19.6
,"Marion County, FL",12083,47,330052,14.2,16.4
,"Martin County, FL",12085,28,144369,19.4,22.4
,"Miami-Dade County, FL",12086,150,2436062,6.2,6
,"Monroe County, FL",12087,19,72730,Unreliable,Unreliable
,"Nassau County, FL",12089,22,71557,30.7,31.6
,"Okaloosa County, FL",12091,20,181752,11,10.3
,"Okeechobee County, FL",12093,11,39968,Unreliable,Unreliable
,"Orange County, FL",12095,125,1115525,11.2,10.7
,"Osceola County, FL",12097,26,261746,9.9,9.8
,"Palm Beach County, FL",12099,271,1294938,20.9,22.2
,"Pasco County, FL",12101,149,461313,32.3,35.2
,"Pinellas County, FL",12103,271,916458,29.6,30.8
,"Polk County, FL",12105,99,594801,16.6,17.5
,"St. Johns County, FL",12109,10,181720,Unreliable,Unreliable
,"St. Lucie County, FL",12111,40,273151,14.6,15.7
,"Santa Rosa County, FL",12113,25,148538,16.8,16.3
,"Sarasota County, FL",12115,85,377178,22.5,26.4
,"Seminole County, FL",12117,52,416564,12.5,12.3
,"Volusia County, FL",12127,104,497366,20.9,22.5
,"Walton County, FL",12131,10,53563,Unreliable,Unreliable
,"Barrow County, GA",13013,12,67362,Unreliable,Unreliable
,"Bartow County, GA",13015,16,98415,Unreliable,Unreliable
,"Bibb County, GA",13021,16,154384,Unreliable,Unreliable
,"Carroll County, GA",13045,28,110242,25.4,25.7
,"Catoosa County, GA",13047,16,63271,Unreliable,Unreliable
,"Chatham County, GA",13051,21,255269,8.2,8.5
,"Cherokee County, GA",13057,19,208271,Unreliable,Unreliable
,"Clayton County, GA",13063,14,262099,Unreliable,Unreliable
,"Cobb County, GA",13067,63,679822,9.3,9.1
,"Coweta County, GA",13077,11,122281,Unreliable,Unreliable
,"DeKalb County, GA",13089,41,685646,6,5.7
,"Dougherty County, GA",13095,11,94363,Unreliable,Unreliable
,"Douglas County, GA",13097,11,129508,Unreliable,Unreliable
,"Floyd County, GA",13115,14,95922,Unreliable,Unreliable
,"Forsyth County, GA",13117,16,166338,Unreliable,Unreliable
,"Fulton County, GA",13121,116,888694,13.1,12.3
,"Glynn County, GA",13127,14,78013,Unreliable,Unreliable
,"Gwinnett County, GA",13135,46,780721,5.9,5.7
,"Hall County, GA",13139,18,177277,Unreliable,Unreliable
,"Henry County, GA",13151,22,194658,11.3,12.3
,"Houston County, GA",13153,12,134922,Unreliable,Unreliable
,"Jackson County, GA",13157,10,59420,Unreliable,Unreliable
,"Murray County, GA",13213,11,39869,Unreliable,Unreliable
,"Muscogee County, GA",13215,14,184763,Unreliable,Unreliable
,"Paulding County, GA",13223,19,137066,Unreliable,Unreliable
,"Richmond County, GA",13245,22,198423,11.1,10.9
,"Spalding County, GA",13255,10,63651,Unreliable,Unreliable
,"Walker County, GA",13295,11,68103,Unreliable,Unreliable
,"Ware County, GA",13299,10,36065,Unreliable,Unreliable
,"Whitfield County, GA",13313,16,100546,Unreliable,Unreliable
,"Hawaii County, HI",15001,25,181506,13.8,13.8
,"Honolulu County, HI",15003,87,933680,9.3,9.2
,"Ada County, ID",16001,43,382618,11.2,10.9
,"Bannock County, ID",16005,10,80609,Unreliable,Unreliable
,"Bonneville County, ID",16019,16,100811,Unreliable,Unreliable
,"Canyon County, ID",16027,12,184996,Unreliable,Unreliable
,"Kootenai County, ID",16055,18,135627,Unreliable,Unreliable
,"Champaign County, IL",17019,17,197570,Unreliable,Unreliable
,"Cook County, IL",17031,544,5161831,10.5,10.5
,"DuPage County, IL",17043,87,909798,9.6,9.6
,"Grundy County, IL",17063,11,49166,Unreliable,Unreliable
,"Kane County, IL",17089,27,504437,5.4,5.2
,"Kankakee County, IL",17091,15,112658,Unreliable,Unreliable
,"Kendall County, IL",17093,16,108559,Unreliable,Unreliable
,"Lake County, IL",17097,84,697369,12,12.2
,"LaSalle County, IL",17099,15,114171,Unreliable,Unreliable
,"Livingston County, IL",17105,10,39071,Unreliable,Unreliable
,"McHenry County, IL",17111,29,307246,9.4,9.9
