Notes,County,County Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,"Baldwin County, AL",1003,34,190790,17.8,16.8
,"Blount County, AL",1009,17,57826,Unreliable,Unreliable
,"Cullman County, AL",1043,12,80440,Unreliable,Unreliable
,"DeKalb County, AL",1049,16,71080,Unreliable,Unreliable
,"Houston County, AL",1069,10,103402,Unreliable,Unreliable
,"Jackson County, AL",1071,13,53019,Unreliable,Unreliable
,"Jefferson County, AL",1073,72,660009,10.9,11.5
,"Lee County, AL",1081,10,147257,Unreliable,Unreliable
,"Madison County, AL",1089,28,343080,8.2,7.7
,"Marshall County, AL",1095,14,94776,Unreliable,Unreliable
,"Mobile County, AL",1097,59,413936,14.3,14.8
,"Montgomery County, AL",1101,17,230149,Unreliable,Unreliable
,"Morgan County, AL",1103,20,120395,16.6,17.4
,"St. Clair County, AL",1115,10,85237,Unreliable,Unreliable
,"Shelby County, AL",1117,38,200941,18.9,18
,"Talladega County, AL",1121,10,81762,Unreliable,Unreliable
,"Tuscaloosa County, AL",1125,31,198596,15.6,16.9
,"Walker County, AL",1127,23,66221,34.7,36.8
,"Anchorage Borough, AK",2020,62,298610,20.8,20.3
,"Fairbanks North Star Borough, AK",2090,10,100272,Unreliable,Unreliable
,"Kenai Peninsula Borough, AK",2122,12,56900,Unreliable,Unreliable
,"Matanuska-Susitna Borough, AK",2170,24,93925,25.6,25.6
,"Cochise County, AZ",4003,24,132088,18.2,18.8
,"Coconino County, AZ",4005,11,136011,Unreliable,Unreliable
,"Gila County, AZ",4007,11,53144,Unreliable,Unreliable
,"Maricopa County, AZ",4013,630,3942169,16,16.1
,"Mohave County, AZ",4015,66,203334,32.5,35.9
,"Navajo County, AZ",4017,20,107094,18.7,21.4
,"Pima County, AZ",4019,214,992394,21.6,22.3
,"Pinal County, AZ",4021,45,387365,11.6,12.2
,"Yavapai County, AZ",4025,66,212637,31,36.7
,"Yuma County, AZ",4027,33,200022,16.5,17.8
,"Benton County, AR",5007,30,232268,12.9,13.1
,"Craighead County, AR",5031,10,99735,Unreliable,Unreliable
,"Faulkner County, AR",5045,15,118704,Unreliable,Unreliable
,"Garland County, AR",5051,24,96903,24.8,26
,"Pulaski County, AR",5119,47,388953,12.1,12.2
,"Saline County, AR",5125,17,111845,Unreliable,Unreliable
,"Sebastian County, AR",5131,29,127304,22.8,21.9
,"Washington County, AR",5143,16,211411,Unreliable,Unreliable
,"Alameda County, CA",6001,134,1554720,8.6,8
,"Amador County, CA",6005,10,37035,Unreliable,Unreliable
,"Butte County, CA",6007,71,221539,32,35.1
,"Contra Costa County, CA",6013,123,1079597,11.4,10.9
,"El Dorado County, CA",6017,35,180561,19.4,20
,"Fresno County, CA",6019,79,947895,8.3,8.9
,"Humboldt County, CA",6023,48,134827,35.6,32.9
,"Imperial County, CA",6025,20,176948,11.3,11.9
,"Kern County, CA",6029,159,856158,18.6,19.4
,"Lake County, CA",6033,23,63983,35.9,31.8
,"Los Angeles County, CA",6037,682,9962789,6.8,6.6
,"Madera County, CA",6039,25,152218,16.4,16.3
,"Marin County, CA",6041,37,256069,14.4,12.8
,"Merced County, CA",6047,37,262305,14.1,15.2
,"Monterey County, CA",6053,43,426762,10.1,10.2
,"Napa County, CA",6055,16,139045,Unreliable,Unreliable
,"Nevada County, CA",6057,25,98292,25.4,23.5
,"Orange County, CA",6059,320,3090132,10.4,10
,"Placer County, CA",6061,38,361682,10.5,9.8
,"Riverside County, CA",6065,286,2268783,12.6,12.7
,"Sacramento County, CA",6067,206,1450121,14.2,13.4
,"San Bernardino County, CA",6071,127,2081313,6.1,6.2
,"San Diego County, CA",6073,424,3177063,13.3,12.8
,"San Francisco County, CA",6075,136,825863,16.5,13.8
,"San Joaquin County, CA",6077,105,702612,14.9,15.4
