Notes,County,County Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,"Orange County, NC",37135,10,140352,Unreliable,Unreliable
,"Pitt County, NC",37147,19,174263,Unreliable,Unreliable
,"Randolph County, NC",37151,26,142577,18.2,19.2
,"Richmond County, NC",37153,11,46405,Unreliable,Unreliable
,"Robeson County, NC",37155,19,134841,Unreliable,Unreliable
,"Rockingham County, NC",37157,13,91878,Unreliable,Unreliable
,"Rowan County, NC",37159,29,138323,21,22.5
,"Rutherford County, NC",37161,14,66956,Unreliable,Unreliable
,"Stanly County, NC",37167,12,60635,Unreliable,Unreliable
,"Surry County, NC",37171,12,73050,Unreliable,Unreliable
,"Transylvania County, NC",37175,10,32903,Unreliable,Unreliable
,"Union County, NC",37179,21,212756,9.9,10.6
,"Wake County, NC",37183,72,974289,7.4,7
,"Wayne County, NC",37191,14,124583,Unreliable,Unreliable
,"Wilkes County, NC",37193,21,69023,30.4,30.3
,"Allen County, OH",39003,16,105298,Unreliable,Unreliable
,"Ashtabula County, OH",39007,20,99811,20,20.9
,"Belmont County, OH",39013,10,69571,Unreliable,Unreliable
,"Brown County, OH",39015,18,44264,Unreliable,Unreliable
,"Butler County, OH",39017,125,371272,33.7,34.9
,"Clark County, OH",39023,30,136167,22,22.7
,"Clermont County, OH",39025,75,200218,37.5,38.1
,"Clinton County, OH",39027,17,41945,Unreliable,Unreliable
,"Columbiana County, OH",39029,29,105893,27.4,29.4
,"Cuyahoga County, OH",39035,282,1263154,22.3,21.8
,"Darke County, OH",39037,11,52376,Unreliable,Unreliable
,"Delaware County, OH",39041,16,184979,Unreliable,Unreliable
,"Erie County, OH",39043,17,76048,Unreliable,Unreliable
,"Fairfield County, OH",39045,20,148867,13.4,15
,"Franklin County, OH",39049,218,1212263,18,17.7
,"Geauga County, OH",39055,11,93972,Unreliable,Unreliable
,"Greene County, OH",39057,27,163204,16.5,18.3
,"Hamilton County, OH",39061,240,804520,29.8,29.8
,"Hardin County, OH",39065,10,31641,Unreliable,Unreliable
,"Huron County, OH",39077,15,58889,Unreliable,Unreliable
,"Jackson County, OH",39079,12,32783,Unreliable,Unreliable
,"Jefferson County, OH",39081,19,67964,Unreliable,Unreliable
,"Knox County, OH",39083,12,60810,Unreliable,Unreliable
,"Lake County, OH",39085,47,229857,20.4,21.3
,"Lawrence County, OH",39087,10,61917,Unreliable,Unreliable
,"Licking County, OH",39089,27,168375,16,17.2
,"Logan County, OH",39091,11,45481,Unreliable,Unreliable
,"Lorain County, OH",39093,82,302827,27.1,29.4
,"Lucas County, OH",39095,78,436393,17.9,18.5
,"Mahoning County, OH",39099,46,233869,19.7,21.9
,"Marion County, OH",39101,18,65905,Unreliable,Unreliable
,"Medina County, OH",39103,16,174915,Unreliable,Unreliable
,"Miami County, OH",39109,13,103439,Unreliable,Unreliable
,"Montgomery County, OH",39113,214,535846,39.9,42.4
,"Muskingum County, OH",39119,12,85231,Unreliable,Unreliable
,"Pickaway County, OH",39129,10,56304,Unreliable,Unreliable
,"Portage County, OH",39133,22,163862,13.4,15.6
,"Richland County, OH",39139,24,121773,19.7,21.9
,"Ross County, OH",39141,16,77910,Unreliable,Unreliable
,"Scioto County, OH",39145,18,78153,Unreliable,Unreliable
,"Stark County, OH",39151,53,375432,14.1,14.8
,"Summit County, OH",39153,83,541824,15.3,15.5
,"Trumbull County, OH",39155,43,206442,20.8,22.5
,"Tuscarawas County, OH",39157,12,92672,Unreliable,Unreliable
,"Warren County, OH",39165,30,219169,13.7,14.1
,"Caddo County, OK",40015,11,29594,Unreliable,Unreliable
,"Canadian County, OK",40017,19,126123,Unreliable,Unreliable
,"Carter County, OK",40019,15,48491,Unreliable,Unreliable
,"Cherokee County, OK",40021,13,48017,Unreliable,Unreliable
,"Cleveland County, OK",40027,50,269340,18.6,18
,"Comanche County, OK",40031,14,124937,Unreliable,Unreliable
,"Creek County, OK",40037,15,70470,Unreliable,Unreliable
,"Garfield County, OK",40047,14,62267,Unreliable,Unreliable
,"Garvin County, OK",40049,10,27334,Unreliable,Unreliable
,"Le Flore County, OK",40079,13,49774,Unreliable,Unreliable
,"Muskogee County, OK",40101,16,70303,Unreliable,Unreliable
,"Oklahoma County, OK",40109,173,755245,22.9,23
,"Payne County, OK",40119,10,79066,Unreliable,Unreliable
,"Pittsburg County, OK",40121,14,44703,Unreliable,Unreliable
,"Pottawatomie County, OK",40125,17,71158,Unreliable,Unreliable
,"Rogers County, OK",40131,11,89044,Unreliable,Unreliable
,"Sequoyah County, OK",40135,17,41218,Unreliable,Unreliable
,"Stephens County, OK",40137,11,44919,Unreliable,Unreliable
,"Tulsa County, OK",40143,122,622409,19.6,19.3
,"Wagoner County, OK",40145,20,75700,26.4,24.1
,"Clackamas County, OR",41005,48,388263,12.4,12.4
,"Deschutes County, OR",41017,16,165954,Unreliable,Unreliable
,"Douglas County, OR",41019,10,106940,Unreliable,Unreliable
,"Jackson County, OR",41029,28,208545,13.4,12.5
,"Josephine County, OR",41033,10,83306,Unreliable,Unreliable
,"Lane County, OR",41039,48,356212,13.5,14.9
,"Lincoln County, OR",41041,11,46350,Unreliable,Unreliable
,"Linn County, OR",41043,16,118765,Unreliable,Unreliable
,"Marion County, OR",41047,18,323614,Unreliable,Unreliable
,"Multnomah County, OR",41051,132,766135,17.2,16.1
,"Washington County, OR",41067,48,554996,8.6,8.5
,"Allegheny County, PA",42003,269,1231527,21.8,21.7
,"Armstrong County, PA",42005,14,68107,Unreliable,Unreliable
,"Beaver County, PA",42007,45,170115,26.5,27.9
,"Berks County, PA",42011,54,413521,13.1,13.5
,"Blair County, PA",42013,17,126314,Unreliable,Unreliable
,"Bucks County, PA",42017,141,626976,22.5,24.2
,"Butler County, PA",42019,39,185476,21,23.7
,"Cambria County, PA",42021,50,140499,35.6,39.4
,"Carbon County, PA",42025,17,64786,Unreliable,Unreliable
,"Chester County, PA",42029,51,509468,10,10.5
,"Clearfield County, PA",42033,18,81174,Unreliable,Unreliable
,"Crawford County, PA",42039,20,87376,22.9,24.5
,"Cumberland County, PA",42041,28,241212,11.6,11
,"Dauphin County, PA",42043,38,270937,14,13.5
,"Delaware County, PA",42045,138,561973,24.6,25.4
,"Erie County, PA",42049,61,280294,21.8,23.4
,"Fayette County, PA",42051,36,134999,26.7,28.9
,"Franklin County, PA",42055,10,152085,Unreliable,Unreliable
,"Indiana County, PA",42063,16,87745,Unreliable,Unreliable
,"Lackawanna County, PA",42069,47,213931,22,23.1
,"Lancaster County, PA",42071,51,529600,9.6,10.4
,"Lawrence County, PA",42073,26,89333,29.1,30.7
,"Lebanon County, PA",42075,10,135486,Unreliable,Unreliable
,"Lehigh County, PA",42077,56,355092,15.8,16.2
,"Luzerne County, PA",42079,66,320103,20.6,20.4
,"Lycoming County, PA",42081,19,116754,Unreliable,Unreliable
,"Mercer County, PA",42085,27,115195,23.4,26
,"Monroe County, PA",42089,33,167148,19.7,19.7
,"Montgomery County, PA",42091,138,812376,17,16.9
,"Northampton County, PA",42095,48,299791,16,17.3
,"Northumberland County, PA",42097,17,94076,Unreliable,Unreliable
,"Philadelphia County, PA",42101,402,1553165,25.9,25.8
,"Pike County, PA",42103,11,56591,Unreliable,Unreliable
,"Schuylkill County, PA",42107,23,146920,15.7,16.4
,"Somerset County, PA",42111,11,76520,Unreliable,Unreliable
,"Susquehanna County, PA",42115,13,42286,Unreliable,Unreliable
,"Venango County, PA",42121,11,53907,Unreliable,Unreliable
,"Washington County, PA",42125,54,208206,25.9,28.5
,"Westmoreland County, PA",42129,103,362437,28.4,29.4
,"York County, PA",42133,68,438965,15.5,15.9
,"Kent County, RI",44003,49,165035,29.7,29.1
,"Newport County, RI",44005,16,82397,Unreliable,Unreliable
,"Providence County, RI",44007,145,628600,23.1,22.6
,"Washington County, RI",44009,24,126259,19,20.2
,"Aiken County, SC",45003,32,164176,19.5,19.9
,"Anderson County, SC",45007,36,190641,18.9,19.7
,"Beaufort County, SC",45013,17,171838,Unreliable,Unreliable
,"Berkeley County, SC",45015,28,194020,14.4,14.9
,"Charleston County, SC",45019,44,372803,11.8,11.4
,"Darlington County, SC",45031,14,67935,Unreliable,Unreliable
,"Dorchester County, SC",45035,15,145397,Unreliable,Unreliable
,"Florence County, SC",45041,20,138326,14.5,14.2
,"Greenville County, SC",45045,68,474266,14.3,13.9
,"Horry County, SC",45051,38,289650,13.1,14.2
,"Lancaster County, SC",45057,12,80458,Unreliable,Unreliable
,"Laurens County, SC",45059,18,66229,Unreliable,Unreliable
,"Lexington County, SC",45063,49,273752,17.9,17.4
,"Oconee County, SC",45073,12,75045,Unreliable,Unreliable
,"Pickens County, SC",45077,32,119829,26.7,28.8
,"Richland County, SC",45079,28,399256,7,7.2
,"Spartanburg County, SC",45083,38,290969,13.1,13
,"York County, SC",45091,37,239363,15.5,14.8
,"Minnehaha County, SD",46099,15,179640,Unreliable,Unreliable
,"Anderson County, TN",47001,25,75542,33.1,34.6
,"Benton County, TN",47005,12,16290,Unreliable,Unreliable
,"Blount County, TN",47009,23,125099,18.4,16.5
,"Bradley County, TN",47011,20,101848,19.6,19.6
,"Campbell County, TN",47013,15,40238,Unreliable,Unreliable
,"Cheatham County, TN",47021,12,39492,Unreliable,Unreliable
,"Davidson County, TN",47037,128,658602,19.4,18.1
,"Dickson County, TN",47043,15,50266,Unreliable,Unreliable
,"Franklin County, TN",47051,10,41129,Unreliable,Unreliable
,"Greene County, TN",47059,14,68267,Unreliable,Unreliable
,"Hamblen County, TN",47063,11,63074,Unreliable,Unreliable
,"Hamilton County, TN",47065,53,348673,15.2,15.1
,"Hardin County, TN",47071,18,26034,Unreliable,Unreliable
,"Hawkins County, TN",47073,19,56800,Unreliable,Unreliable
,"Jefferson County, TN",47089,10,52123,Unreliable,Unreliable
,"Knox County, TN",47093,97,444622,21.8,21.6
,"McMinn County, TN",47107,15,52341,Unreliable,Unreliable
,"Marion County, TN",47115,11,28374,Unreliable,Unreliable
,"Maury County, TN",47119,10,83761,Unreliable,Unreliable
,"Montgomery County, TN",47125,26,184119,14.1,15.5
,"Putnam County, TN",47141,17,73525,Unreliable,Unreliable
,"Roane County, TN",47145,20,53047,37.7,34.5
,"Robertson County, TN",47147,11,67383,Unreliable,Unreliable
,"Rutherford County, TN",47149,43,281029,15.3,15.1
,"Sevier County, TN",47155,18,93570,Unreliable,Unreliable
,"Shelby County, TN",47157,140,939465,14.9,14.4
,"Sullivan County, TN",47163,36,156595,23,22.5
,"Sumner County, TN",47165,24,168888,14.2,14.6
,"Tipton County, TN",47167,10,61586,Unreliable,Unreliable
,"Washington County, TN",47179,19,125546,Unreliable,Unreliable
,"Williamson County, TN",47187,14,198901,Unreliable,Unreliable
,"Wilson County, TN",47189,21,121945,17.2,18.5
,"Bastrop County, TX",48021,10,75825,Unreliable,Unreliable
,"Bell County, TX",48027,25,326843,7.6,8.6
,"Bexar County, TX",48029,185,1817610,10.2,10.2
,"Brazoria County, TX",48039,31,330242,9.4,9.1
,"Brazos County, TX",48041,12,203164,Unreliable,Unreliable
,"Collin County, TX",48085,60,854778,7,6.8
,"Dallas County, TX",48113,247,2480331,10,9.9
,"Denton County, TX",48121,49,728799,6.7,6.4
,"Ector County, TX",48135,19,149378,Unreliable,Unreliable
,"Ellis County, TX",48139,12,155976,Unreliable,Unreliable
,"El Paso County, TX",48141,73,827718,8.8,9.4
,"Fort Bend County, TX",48157,18,652365,Unreliable,Unreliable
,"Galveston County, TX",48167,38,306782,12.4,12.1
,"Grayson County, TX",48181,21,122353,17.2,18.1
,"Harris County, TX",48201,429,4336853,9.9,9.8
,"Hays County, TX",48209,11,176026,Unreliable,Unreliable
,"Henderson County, TX",48213,10,78675,Unreliable,Unreliable
,"Hidalgo County, TX",48215,34,815996,4.2,4.8
,"Hood County, TX",48221,13,52905,Unreliable,Unreliable
,"Hunt County, TX",48231,14,87048,Unreliable,Unreliable
,"Jefferson County, TX",48245,25,252358,9.9,9.2
,"Johnson County, TX",48251,11,154707,Unreliable,Unreliable
,"Kaufman County, TX",48257,15,108568,Unreliable,Unreliable
,"Lubbock County, TX",48303,33,289324,11.4,11.5
,"McLennan County, TX",48309,15,241481,Unreliable,Unreliable
,"Midland County, TX",48329,19,151468,Unreliable,Unreliable
,"Montgomery County, TX",48339,49,499137,9.8,10
,"Nueces County, TX",48355,58,352107,16.5,16.1
,"Orange County, TX",48361,12,82957,Unreliable,Unreliable
,"Potter County, TX",48375,20,121661,16.4,16.6
,"Randall County, TX",48381,11,126474,Unreliable,Unreliable
,"San Patricio County, TX",48409,10,66137,Unreliable,Unreliable
,"Smith County, TX",48423,24,216080,11.1,11.8
,"Tarrant County, TX",48439,144,1911541,7.5,7.4
,"Taylor County, TX",48441,12,134117,Unreliable,Unreliable
,"Tom Green County, TX",48451,10,114954,Unreliable,Unreliable
,"Travis County, TX",48453,156,1120954,13.9,13.6
,"Victoria County, TX",48469,16,90028,Unreliable,Unreliable
,"Webb County, TX",48479,29,262495,11,12
,"Wichita County, TX",48485,21,132047,15.9,15.5
,"Williamson County, TX",48491,42,471014,8.9,8.8
,"Cache County, UT",49005,17,116909,Unreliable,Unreliable
,"Carbon County, UT",49007,14,20988,Unreliable,Unreliable
,"Davis County, UT",49011,45,322094,14,16
,"Salt Lake County, UT",49035,262,1079721,24.3,24.5
,"Tooele County, UT",49045,18,60762,Unreliable,Unreliable
,"Utah County, UT",49049,84,551891,15.2,18
,"Washington County, UT",49053,37,147800,25,27.9
,"Weber County, UT",49057,45,238519,18.9,18.7
,"Chittenden County, VT",50007,18,159515,Unreliable,Unreliable
,"Rutland County, VT",50021,16,60622,Unreliable,Unreliable
,"Arlington County, VA",51013,13,224906,Unreliable,Unreliable
,"Augusta County, VA",51015,12,73912,Unreliable,Unreliable
,"Bedford County, VA",51019,12,69825,Unreliable,Unreliable
,"Chesterfield County, VA",51041,33,327745,10.1,10.1
,"Culpeper County, VA",51047,15,48506,Unreliable,Unreliable
,"Fairfax County, VA",51059,55,1130924,4.9,4.8
,"Frederick County, VA",51069,14,81319,Unreliable,Unreliable
,"Hanover County, VA",51085,12,101330,Unreliable,Unreliable
,"Henrico County, VA",51087,28,318611,8.8,8.7
,"Henry County, VA",51089,13,52617,Unreliable,Unreliable
,"Loudoun County, VA",51107,23,349679,6.6,6.9
,"Orange County, VA",51137,10,34689,Unreliable,Unreliable
,"Pittsylvania County, VA",51143,11,62426,Unreliable,Unreliable
,"Prince William County, VA",51153,30,438580,6.8,6.6
,"Spotsylvania County, VA",51177,15,127348,Unreliable,Unreliable
,"Stafford County, VA",51179,14,136788,Unreliable,Unreliable
,"Tazewell County, VA",51185,11,44103,Unreliable,Unreliable
,"Wise County, VA",51195,11,40589,Unreliable,Unreliable
,"Alexandria city, VA",51510,16,148892,Unreliable,Unreliable
,"Chesapeake city, VA",51550,31,230571,13.4,13.9
,"Hampton city, VA",51650,17,136699,Unreliable,Unreliable
,"Newport News city, VA",51700,18,182020,Unreliable,Unreliable
,"Norfolk city, VA",51710,38,246139,15.4,16.7
,"Portsmouth city, VA",51740,15,96205,Unreliable,Unreliable
,"Richmond city, VA",51760,29,214114,13.5,13.4
,"Roanoke city, VA",51770,23,98465,23.4,23.3
,"Virginia Beach city, VA",51810,56,448479,12.5,12.1
,"Benton County, WA",53005,19,184486,Unreliable,Unreliable
,"Chelan County, WA",53007,11,73967,Unreliable,Unreliable
,"Clallam County, WA",53009,19,72312,Unreliable,Unreliable
,"Clark County, WA",53011,60,443817,13.5,13.9
,"Cowlitz County, WA",53015,23,101860,22.6,23
,"Grays Harbor County, WA",53027,16,71078,Unreliable,Unreliable
,"King County, WA",53033,282,2044449,13.8,12.6
,"Kitsap County, WA",53035,25,253968,9.8,9.3
,"Lewis County, WA",53041,10,75081,Unreliable,Unreliable
,"Mason County, WA",53045,10,60497,Unreliable,Unreliable
,"Pierce County, WA",53053,123,819743,15,14.3
,"Skagit County, WA",53057,27,118837,22.7,25.1
