Notes,County,County Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,"Baldwin County, AL",1003,28,172404,16.2,16.8
,"Calhoun County, AL",1015,13,116211,Unreliable,Unreliable
,"DeKalb County, AL",1049,11,69450,Unreliable,Unreliable
,"Etowah County, AL",1055,13,103893,Unreliable,Unreliable
,"Houston County, AL",1069,10,97727,Unreliable,Unreliable
,"Jefferson County, AL",1073,80,655163,12.2,11.9
,"Lauderdale County, AL",1077,18,91107,Unreliable,Unreliable
,"Madison County, AL",1089,14,315859,Unreliable,Unreliable
,"Mobile County, AL",1097,62,405715,15.3,15.8
,"Montgomery County, AL",1101,11,227888,Unreliable,Unreliable
,"Morgan County, AL",1103,18,116397,Unreliable,Unreliable
,"St. Clair County, AL",1115,11,79348,Unreliable,Unreliable
,"Shelby County, AL",1117,29,183491,15.8,16
,"Tuscaloosa County, AL",1125,31,184350,16.8,19.1
,"Walker County, AL",1127,20,67695,29.5,30.3
,"Anchorage Borough, AK",2020,44,278792,15.8,14.9
,"Matanuska-Susitna Borough, AK",2170,10,81402,Unreliable,Unreliable
,"Cochise County, AZ",4003,20,128206,15.6,15.1
,"Coconino County, AZ",4005,10,130442,Unreliable,Unreliable
,"Gila County, AZ",4007,11,53252,Unreliable,Unreliable
,"Maricopa County, AZ",4013,575,3711954,15.5,15.9
,"Mohave County, AZ",4015,26,199760,13,14.5
,"Navajo County, AZ",4017,16,106927,Unreliable,Unreliable
,"Pima County, AZ",4019,165,955869,17.3,18.1
,"Pinal County, AZ",4021,40,306174,13.1,13.4
,"Yavapai County, AZ",4025,36,208773,17.2,18
,"Yuma County, AZ",4027,24,187357,12.8,15.5
,"Benton County, AR",5007,19,203664,Unreliable,Unreliable
,"Crawford County, AR",5033,14,60210,Unreliable,Unreliable
,"Faulkner County, AR",5045,10,105637,Unreliable,Unreliable
,"Garland County, AR",5051,22,94753,23.2,24.1
,"Pulaski County, AR",5119,33,373403,8.8,9.2
,"Saline County, AR",5125,10,100043,Unreliable,Unreliable
,"Sebastian County, AR",5131,29,122946,23.6,23.1
,"Washington County, AR",5143,16,194526,Unreliable,Unreliable
,"Alameda County, CA",6001,190,1455715,13.1,12.3
,"Butte County, CA",6007,65,217469,29.9,30
,"Contra Costa County, CA",6013,101,1009152,10,9.5
,"El Dorado County, CA",6017,34,177694,19.1,17.9
,"Fresno County, CA",6019,95,895933,10.6,11.6
,"Humboldt County, CA",6023,42,132001,31.8,32.2
,"Imperial County, CA",6025,21,164596,12.8,13.5
,"Kern County, CA",6029,119,803281,14.8,15.6
,"Kings County, CA",6031,18,150420,Unreliable,Unreliable
,"Lake County, CA",6033,20,64077,31.2,28.6
,"Lassen County, CA",6035,11,35615,Unreliable,Unreliable
,"Los Angeles County, CA",6037,755,9700359,7.8,7.7
,"Madera County, CA",6039,12,146067,Unreliable,Unreliable
,"Marin County, CA",6041,40,246248,16.2,14.7
,"Mendocino County, CA",6045,21,87071,24.1,23.8
,"Merced County, CA",6047,23,248540,9.3,10.5
,"Monterey County, CA",6053,24,402376,6,6
,"Napa County, CA",6055,13,132583,Unreliable,Unreliable
,"Nevada County, CA",6057,17,97794,Unreliable,Unreliable
,"Orange County, CA",6059,287,2931629,9.8,9.5
,"Placer County, CA",6061,55,329023,16.7,16.7
,"Riverside County, CA",6065,216,2075183,10.4,10.9
,"Sacramento County, CA",6067,212,1381161,15.3,15.3
,"San Bernardino County, CA",6071,69,1992161,3.5,3.7
,"San Diego County, CA",6073,357,2975742,12,11.8
,"San Francisco County, CA",6075,186,778673,23.9,20.8
,"San Joaquin County, CA",6077,96,668080,14.4,15.1
,"San Luis Obispo County, CA",6079,36,262770,13.7,13.9
,"San Mateo County, CA",6081,63,693849,9.1,8.3
,"Santa Barbara County, CA",6083,44,411243,10.7,11.2
,"Santa Clara County, CA",6085,141,1712026,8.2,7.8
,"Santa Cruz County, CA",6087,42,253304,16.6,15.2
,"Shasta County, CA",6089,48,176548,27.2,28.2
,"Solano County, CA",6095,36,408243,8.8,8.4
,"Sonoma County, CA",6097,61,467356,13.1,12.3
,"Stanislaus County, CA",6099,82,507834,16.1,16.8
,"Sutter County, CA",6101,10,92959,Unreliable,Unreliable
,"Tulare County, CA",6107,22,422140,5.2,5.8
,"Tuolumne County, CA",6109,14,56339,Unreliable,Unreliable
,"Ventura County, CA",6111,84,800027,10.5,10.3
,"Yolo County, CA",6113,13,194339,Unreliable,Unreliable
,"Adams County, CO",8001,75,415746,18,18.5
,"Arapahoe County, CO",8005,95,542039,17.5,16.7
,"Boulder County, CO",8013,47,287428,16.4,15.7
,"Denver County, CO",8031,148,564395,26.2,26.2
,"Douglas County, CO",8035,17,267177,Unreliable,Unreliable
,"El Paso County, CO",8041,80,586783,13.6,13.5
,"Jefferson County, CO",8059,76,524911,14.5,13.8
,"Larimer County, CO",8069,36,286112,12.6,12
,"Mesa County, CO",8077,22,139434,15.8,16.9
,"Pueblo County, CO",8101,20,155121,12.9,13.8
,"Weld County, CO",8123,26,237692,10.9,11.4
,"Fairfield County, CT",9001,76,897498,8.5,8.6
,"Hartford County, CT",9003,127,884548,14.4,14.4
,"Litchfield County, CT",9005,27,189866,14.2,14.3
,"Middlesex County, CT",9007,24,164129,14.6,13.6
,"New Haven County, CT",9009,122,853598,14.3,14.3
,"New London County, CT",9011,32,270669,11.8,11.4
,"Tolland County, CT",9013,16,149718,Unreliable,Unreliable
,"Kent County, DE",10001,13,153969,Unreliable,Unreliable
,"New Castle County, DE",10003,64,530555,12.1,12
,"Sussex County, DE",10005,20,187225,10.7,11.9
,"District of Columbia, DC",11001,61,574404,10.6,10.8
,"Alachua County, FL",12001,20,242685,8.2,9
,"Baker County, FL",12003,10,26212,Unreliable,Unreliable
,"Bay County, FL",12005,34,165345,20.6,19.9
,"Brevard County, FL",12009,105,539719,19.5,20.3
,"Broward County, FL",12011,270,1720825,15.7,15.4
,"Charlotte County, FL",12015,10,159742,Unreliable,Unreliable
,"Citrus County, FL",12017,20,140974,14.2,19.7
,"Clay County, FL",12019,30,184256,16.3,16.2
,"Collier County, FL",12021,38,314437,12.1,14.7
,"Duval County, FL",12031,143,851033,16.8,16.4
,"Escambia County, FL",12033,37,297393,12.4,13.4
,"Flagler County, FL",12035,10,90516,Unreliable,Unreliable
,"Hernando County, FL",12053,44,169891,25.9,29.8
,"Hillsborough County, FL",12057,258,1184686,21.8,21.4
,"Indian River County, FL",12061,25,134564,18.6,20.1
,"Lake County, FL",12069,21,289909,7.2,8.2
,"Lee County, FL",12071,99,604716,16.4,17.7
,"Leon County, FL",12073,15,268519,Unreliable,Unreliable
,"Manatee County, FL",12081,54,316410,17.1,19.1
,"Marion County, FL",12083,36,325634,11.1,12.9
,"Martin County, FL",12085,29,143542,20.2,24.6
,"Miami-Dade County, FL",12086,150,2415576,6.2,6
,"Monroe County, FL",12087,21,72906,28.8,29.2
,"Nassau County, FL",12089,10,69969,Unreliable,Unreliable
,"Okaloosa County, FL",12091,32,182677,17.5,16.8
,"Okeechobee County, FL",12093,10,39840,Unreliable,Unreliable
,"Orange County, FL",12095,116,1100663,10.5,10.1
,"Osceola County, FL",12097,28,253722,11,11.1
,"Palm Beach County, FL",12099,262,1286586,20.4,21.9
,"Pasco County, FL",12101,126,453579,27.8,29.6
,"Pinellas County, FL",12103,239,918624,26,26.6
,"Polk County, FL",12105,86,585982,14.7,15.3
,"St. Johns County, FL",12109,19,175318,Unreliable,Unreliable
,"St. Lucie County, FL",12111,49,266860,18.4,19
,"Santa Rosa County, FL",12113,23,146158,15.7,15.7
,"Sarasota County, FL",12115,77,375325,20.5,23.9
,"Seminole County, FL",12117,51,413571,12.3,12.1
,"Volusia County, FL",12127,74,498935,14.8,16.2
,"Walton County, FL",12131,12,52355,Unreliable,Unreliable
,"Bibb County, GA",13021,16,154286,Unreliable,Unreliable
,"Carroll County, GA",13045,23,108947,21.1,21.3
,"Chatham County, GA",13051,27,251981,10.7,10.5
,"Cherokee County, GA",13057,28,202544,13.8,13.9
,"Clayton County, GA",13063,20,260441,7.7,8.5
,"Cobb County, GA",13067,49,670438,7.3,7
,"Coweta County, GA",13077,11,118156,Unreliable,Unreliable
,"DeKalb County, GA",13089,47,680962,6.9,6.5
,"Floyd County, GA",13115,18,95308,Unreliable,Unreliable
,"Forsyth County, GA",13117,16,157129,Unreliable,Unreliable
,"Fulton County, GA",13121,101,869329,11.6,11.1
,"Glynn County, GA",13127,13,76513,Unreliable,Unreliable
,"Gwinnett County, GA",13135,44,764129,5.8,5.4
,"Hall County, GA",13139,19,172446,Unreliable,Unreliable
,"Haralson County, GA",13143,13,28558,Unreliable,Unreliable
,"Henry County, GA",13151,14,188736,Unreliable,Unreliable
,"Murray County, GA",13213,10,40138,Unreliable,Unreliable
,"Newton County, GA",13217,12,95699,Unreliable,Unreliable
