Notes,County,County Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,"Baldwin County, AL",1003,24,186717,12.9,13.3
,"Calhoun County, AL",1015,14,117797,Unreliable,Unreliable
,"Cullman County, AL",1043,10,80536,Unreliable,Unreliable
,"DeKalb County, AL",1049,11,71375,Unreliable,Unreliable
,"Escambia County, AL",1053,16,38095,Unreliable,Unreliable
,"Etowah County, AL",1055,15,104303,Unreliable,Unreliable
,"Houston County, AL",1069,13,102369,Unreliable,Unreliable
,"Jefferson County, AL",1073,85,658931,12.9,13.2
,"Lauderdale County, AL",1077,12,92781,Unreliable,Unreliable
,"Limestone County, AL",1083,10,85369,Unreliable,Unreliable
,"Madison County, AL",1089,30,340111,8.8,9
,"Mobile County, AL",1097,48,412577,11.6,11.7
,"Morgan County, AL",1103,16,119953,Unreliable,Unreliable
,"St. Clair County, AL",1115,18,84398,Unreliable,Unreliable
,"Shelby County, AL",1117,27,197936,13.6,13.5
,"Tuscaloosa County, AL",1125,22,197211,11.2,11.9
,"Walker County, AL",1127,37,66661,55.5,58.7
,"Anchorage Borough, AK",2020,52,295570,17.6,17.3
,"Fairbanks North Star Borough, AK",2090,10,99192,Unreliable,Unreliable
,"Matanuska-Susitna Borough, AK",2170,19,91946,Unreliable,Unreliable
,"Coconino County, AZ",4005,22,134511,16.4,14.4
,"Maricopa County, AZ",4013,627,3880244,16.2,16.2
,"Mohave County, AZ",4015,57,202351,28.2,29
,"Navajo County, AZ",4017,17,107398,Unreliable,Unreliable
,"Pima County, AZ",4019,193,989569,19.5,20.9
,"Pinal County, AZ",4021,44,382992,11.5,11.7
,"Yavapai County, AZ",4025,59,211888,27.8,32.2
,"Yuma County, AZ",4027,23,200870,11.5,12.4
,"Benton County, AR",5007,28,227556,12.3,13
,"Craighead County, AR",5031,13,98315,Unreliable,Unreliable
,"Crawford County, AR",5033,19,61944,Unreliable,Unreliable
,"Faulkner County, AR",5045,14,116342,Unreliable,Unreliable
,"Garland County, AR",5051,21,97124,21.6,24.1
,"Pope County, AR",5115,10,62331,Unreliable,Unreliable
,"Pulaski County, AR",5119,41,386299,10.6,10.9
,"Saline County, AR",5125,15,109526,Unreliable,Unreliable
,"Sebastian County, AR",5131,18,127127,Unreliable,Unreliable
,"Washington County, AR",5143,19,207521,Unreliable,Unreliable
,"Alameda County, CA",6001,168,1529875,11,10
,"Amador County, CA",6005,10,37953,Unreliable,Unreliable
,"Butte County, CA",6007,84,220266,38.1,36.6
,"Calaveras County, CA",6009,15,45052,Unreliable,Unreliable
,"Contra Costa County, CA",6013,122,1066096,11.4,10.5
,"El Dorado County, CA",6017,35,180938,19.3,18.3
,"Fresno County, CA",6019,90,942904,9.5,10.2
,"Humboldt County, CA",6023,57,134761,42.3,41.4
,"Imperial County, CA",6025,23,177057,13,13.5
,"Kern County, CA",6029,151,851710,17.7,18.6
,"Kings County, CA",6031,14,153765,Unreliable,Unreliable
,"Lake County, CA",6033,34,64323,52.9,46.3
,"Lassen County, CA",6035,13,34200,Unreliable,Unreliable
,"Los Angeles County, CA",6037,684,9889056,6.9,6.7
,"Madera County, CA",6039,24,152925,15.7,16.2
,"Marin County, CA",6041,21,255031,8.2,7.7
,"Mendocino County, CA",6045,17,87553,Unreliable,Unreliable
,"Merced County, CA",6047,34,259898,13.1,14.6
,"Monterey County, CA",6053,47,421898,11.1,11.5
,"Napa County, CA",6055,18,138088,Unreliable,Unreliable
,"Nevada County, CA",6057,14,98612,Unreliable,Unreliable
,"Orange County, CA",6059,319,3055745,10.4,10
,"Placer County, CA",6061,26,357138,7.3,7.3
,"Riverside County, CA",6065,254,2239620,11.3,11.5
,"Sacramento County, CA",6067,213,1436105,14.8,14.6
,"San Bernardino County, CA",6071,111,2065377,5.4,5.3
,"San Diego County, CA",6073,415,3140069,13.2,12.7
,"San Francisco County, CA",6075,194,812826,23.9,21.5
,"San Joaquin County, CA",6077,134,696214,19.2,19.4
,"San Luis Obispo County, CA",6079,42,271969,15.4,15.4
,"San Mateo County, CA",6081,66,727209,9.1,8.1
,"Santa Barbara County, CA",6083,42,426878,9.8,10.4
,"Santa Clara County, CA",6085,144,1809378,8,7.5
,"Santa Cruz County, CA",6087,56,264298,21.2,20.2
,"Shasta County, CA",6089,53,177774,29.8,28.1
,"Siskiyou County, CA",6093,12,44507,Unreliable,Unreliable
,"Solano County, CA",6095,58,416471,13.9,13.7
,"Sonoma County, CA",6097,50,488116,10.2,9.5
,"Stanislaus County, CA",6099,82,518522,15.8,15.4
,"Sutter County, CA",6101,14,94919,Unreliable,Unreliable
,"Tehama County, CA",6103,13,63601,Unreliable,Unreliable
,"Tulare County, CA",6107,34,449253,7.6,8.8
,"Tuolumne County, CA",6109,14,54953,Unreliable,Unreliable
,"Ventura County, CA",6111,111,831771,13.3,13.5
,"Yolo County, CA",6113,20,202054,9.9,11.1
,"Adams County, CO",8001,93,451443,20.6,20.2
,"Arapahoe County, CO",8005,82,584948,14,13.7
,"Boulder County, CO",8013,40,299378,13.4,12.8
,"Denver County, CO",8031,163,619968,26.3,26.1
,"Douglas County, CO",8035,28,292167,9.6,10.3
,"El Paso County, CO",8041,99,636963,15.5,15.3
,"Garfield County, CO",8045,11,56270,Unreliable,Unreliable
,"Jefferson County, CO",8059,73,539884,13.5,13.5
,"Larimer County, CO",8069,53,305525,17.3,17.1
,"Mesa County, CO",8077,33,147083,22.4,22.9
,"Pueblo County, CO",8101,32,160545,19.9,22.4
,"Weld County, CO",8123,34,258638,13.1,14.1
,"Fairfield County, CT",9001,70,925899,7.6,7.8
,"Hartford County, CT",9003,95,894705,10.6,10.4
,"Litchfield County, CT",9005,16,188789,Unreliable,Unreliable
,"Middlesex County, CT",9007,22,166043,13.2,12.8
,"New Haven County, CT",9009,130,861113,15.1,15
,"New London County, CT",9011,39,273502,14.3,14.5
,"Tolland County, CT",9013,13,152507,Unreliable,Unreliable
,"Windham County, CT",9015,17,118151,Unreliable,Unreliable
,"Kent County, DE",10001,33,164834,20,20.5
,"New Castle County, DE",10003,88,541971,16.2,15.9
,"Sussex County, DE",10005,39,200330,19.5,20.1
,"District of Columbia, DC",11001,86,617996,13.9,13.5
,"Alachua County, FL",12001,25,249365,10,11.8
,"Bay County, FL",12005,12,169856,Unreliable,Unreliable
,"Brevard County, FL",12009,125,543566,23,24.3
,"Broward County, FL",12011,242,1780172,13.6,12.8
,"Charlotte County, FL",12015,11,160511,Unreliable,Unreliable
,"Citrus County, FL",12017,37,140031,26.4,34.3
,"Clay County, FL",12019,27,192370,14,13.5
,"Collier County, FL",12021,44,328134,13.4,15.4
,"Duval County, FL",12031,149,870709,17.1,16.5
,"Escambia County, FL",12033,34,299114,11.4,11.7
,"Flagler County, FL",12035,18,97376,Unreliable,Unreliable
,"Hernando County, FL",12053,41,173094,23.7,27.6
,"Highlands County, FL",12055,21,98630,21.3,21.3
,"Hillsborough County, FL",12057,245,1267775,19.3,18.6
,"Indian River County, FL",12061,25,138894,18,20.7
,"Lake County, FL",12069,43,301019,14.3,16
,"Lee County, FL",12071,96,631330,15.2,17.3
,"Leon County, FL",12073,15,277971,Unreliable,Unreliable
,"Manatee County, FL",12081,75,327142,22.9,26.5
,"Marion County, FL",12083,52,332529,15.6,17.8
,"Martin County, FL",12085,28,147495,19,21.5
,"Miami-Dade County, FL",12086,123,2554766,4.8,4.6
,"Monroe County, FL",12087,24,73873,32.5,28.5
,"Nassau County, FL",12089,13,74195,Unreliable,Unreliable
,"Okaloosa County, FL",12091,22,183482,12,11.6
,"Okeechobee County, FL",12093,13,40140,Unreliable,Unreliable
,"Orange County, FL",12095,151,1169107,12.9,12.5
,"Osceola County, FL",12097,40,276163,14.5,14.8
,"Palm Beach County, FL",12099,211,1335187,15.8,16.3
,"Pasco County, FL",12101,150,466457,32.2,34.3
,"Pinellas County, FL",12103,251,917398,27.4,28.2
,"Polk County, FL",12105,114,609492,18.7,18.8
,"Putnam County, FL",12107,19,74041,Unreliable,Unreliable
,"St. Johns County, FL",12109,22,195823,11.2,12.6
,"St. Lucie County, FL",12111,48,280379,17.1,18.3
,"Santa Rosa County, FL",12113,25,154104,16.2,15.1
,"Sarasota County, FL",12115,85,382213,22.2,26.4
,"Seminole County, FL",12117,60,425071,14.1,13.5
,"Volusia County, FL",12127,90,494804,18.2,18.9
,"Bartow County, GA",13015,19,100421,Unreliable,Unreliable
,"Bibb County, GA",13021,20,156433,12.8,13.5
,"Camden County, GA",13039,10,50410,Unreliable,Unreliable
,"Carroll County, GA",13045,25,111159,22.5,23
,"Catoosa County, GA",13047,10,64530,Unreliable,Unreliable
,"Chatham County, GA",13051,25,271544,9.2,9.6
,"Cherokee County, GA",13057,24,218286,11,10.4
,"Clarke County, GA",13059,15,117344,Unreliable,Unreliable
,"Clayton County, GA",13063,22,261532,8.4,8.5
,"Cobb County, GA",13067,77,697553,11,10.5
,"Columbia County, GA",13073,11,128112,Unreliable,Unreliable
,"Coweta County, GA",13077,15,129629,Unreliable,Unreliable
,"DeKalb County, GA",13089,46,699893,6.6,6.2
,"Douglas County, GA",13097,15,133355,Unreliable,Unreliable
,"Fayette County, GA",13113,11,107784,Unreliable,Unreliable
,"Floyd County, GA",13115,15,95989,Unreliable,Unreliable
,"Forsyth County, GA",13117,28,181840,15.4,15.9
,"Fulton County, GA",13121,98,949599,10.3,10
,"Gordon County, GA",13129,13,55621,Unreliable,Unreliable
,"Gwinnett County, GA",13135,46,824941,5.6,5.3
,"Hall County, GA",13139,25,183052,13.7,14.4
,"Henry County, GA",13151,33,207360,15.9,15.7
,"Jackson County, GA",13157,11,61257,Unreliable,Unreliable
,"Murray County, GA",13213,16,39557,Unreliable,Unreliable
,"Muscogee County, GA",13215,21,194107,10.8,10.7
,"Newton County, GA",13217,15,100814,Unreliable,Unreliable
,"Paulding County, GA",13223,22,143542,15.3,14.6
,"Richmond County, GA",13245,25,201217,12.4,11.5
,"Rockdale County, GA",13247,11,85765,Unreliable,Unreliable
,"Troup County, GA",13285,14,67764,Unreliable,Unreliable
,"Walker County, GA",13295,12,68848,Unreliable,Unreliable
,"Whitfield County, GA",13313,15,103184,Unreliable,Unreliable
,"Hawaii County, HI",15001,23,186738,12.3,12.2
,"Honolulu County, HI",15003,115,963607,11.9,11.4
,"Maui County, HI",15009,38,156674,24.3,21.5
,"Ada County, ID",16001,51,400842,12.7,12.7
,"Bannock County, ID",16005,17,83691,Unreliable,Unreliable
,"Bonneville County, ID",16019,14,105772,Unreliable,Unreliable
,"Canyon County, ID",16027,20,191694,10.4,11.2
,"Kootenai County, ID",16055,12,141132,Unreliable,Unreliable
,"Twin Falls County, ID",16083,17,78005,Unreliable,Unreliable
,"Champaign County, IL",17019,24,201685,11.9,14
,"Cook County, IL",17031,503,5217080,9.6,9.6
,"DeKalb County, IL",17037,11,104743,Unreliable,Unreliable
,"DuPage County, IL",17043,88,923222,9.5,9.1
,"Kane County, IL",17089,50,520271,9.6,9.8
,"Kankakee County, IL",17091,15,113698,Unreliable,Unreliable
,"Kendall County, IL",17093,11,116631,Unreliable,Unreliable
,"Lake County, IL",17097,87,706222,12.3,12.5
,"LaSalle County, IL",17099,26,113518,22.9,23.7
,"McHenry County, IL",17111,33,308944,10.7,11
,"McLean County, IL",17113,14,170556,Unreliable,Unreliable
,"Madison County, IL",17119,55,268459,20.5,20.7
,"Peoria County, IL",17143,35,186834,18.7,19
,"Rock Island County, IL",17161,17,147556,Unreliable,Unreliable
,"St. Clair County, IL",17163,37,270259,13.7,14.5
,"Sangamon County, IL",17167,24,198844,12.1,11
,"Tazewell County, IL",17179,18,135661,Unreliable,Unreliable
,"Will County, IL",17197,79,681545,11.6,11.7
,"Williamson County, IL",17199,13,66622,Unreliable,Unreliable
,"Winnebago County, IL",17201,39,293993,13.3,14.1
,"Allen County, IN",18003,32,358327,8.9,9.3
,"Clark County, IN",18019,30,111570,26.9,27.5
,"Dearborn County, IN",18029,13,50113,Unreliable,Unreliable
,"Delaware County, IN",18035,20,117660,17,19.6
,"Elkhart County, IN",18039,19,198941,Unreliable,Unreliable
,"Floyd County, IN",18043,14,74989,Unreliable,Unreliable
,"Grant County, IN",18053,19,69793,Unreliable,Unreliable
,"Hamilton County, IN",18057,22,282810,7.8,8.1
,"Hendricks County, IN",18063,19,147979,Unreliable,Unreliable
,"Howard County, IN",18067,22,82800,26.6,26.7
,"Johnson County, IN",18081,19,141656,Unreliable,Unreliable
,"Lake County, IN",18089,23,495558,4.6,4.8
,"La Porte County, IN",18091,24,111374,21.5,22.8
,"Madison County, IN",18095,44,131235,33.5,34.6
,"Marion County, IN",18097,157,911296,17.2,17
,"Marshall County, IN",18099,10,47050,Unreliable,Unreliable
,"Monroe County, IN",18105,19,139799,Unreliable,Unreliable
