Notes,County,County Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,"Baldwin County, AL",1003,43,203709,21.1,20.9
,"Blount County, AL",1009,11,57673,Unreliable,Unreliable
,"Calhoun County, AL",1015,20,115620,17.3,18.8
,"Cullman County, AL",1043,16,82005,Unreliable,Unreliable
,"DeKalb County, AL",1049,19,71130,Unreliable,Unreliable
,"Etowah County, AL",1055,22,103057,21.3,23
,"Houston County, AL",1069,13,104173,Unreliable,Unreliable
,"Jefferson County, AL",1073,164,660367,24.8,26
,"Lee County, AL",1081,17,156993,Unreliable,Unreliable
,"Madison County, AL",1089,41,353089,11.6,11.8
,"Marshall County, AL",1095,24,94725,25.3,25.9
,"Mobile County, AL",1097,69,415395,16.6,17.1
,"Montgomery County, AL",1101,15,226519,Unreliable,Unreliable
,"Morgan County, AL",1103,26,119565,21.7,21.2
,"St. Clair County, AL",1115,20,87074,23,23.2
,"Shelby County, AL",1117,41,208713,19.6,20.5
,"Tuscaloosa County, AL",1125,27,203976,13.2,13.7
,"Walker County, AL",1127,11,65294,Unreliable,Unreliable
,"Anchorage Borough, AK",2020,59,298695,19.8,18.3
,"Fairbanks North Star Borough, AK",2090,10,99631,Unreliable,Unreliable
,"Kenai Peninsula Borough, AK",2122,16,58059,Unreliable,Unreliable
,"Matanuska-Susitna Borough, AK",2170,14,101095,Unreliable,Unreliable
,"Cochise County, AZ",4003,34,126427,26.9,30.9
,"Coconino County, AZ",4005,26,139097,18.7,21.1
,"Gila County, AZ",4007,20,53159,37.6,34.5
,"Maricopa County, AZ",4013,707,4167947,17,17
,"Mohave County, AZ",4015,62,204737,30.3,32.2
,"Navajo County, AZ",4017,15,108277,Unreliable,Unreliable
,"Pima County, AZ",4019,232,1010025,23,24.5
,"Pinal County, AZ",4021,58,406584,14.3,15
,"Yavapai County, AZ",4025,56,222255,25.2,27.4
,"Yuma County, AZ",4027,31,204275,15.2,15.6
,"Baxter County, AR",5005,10,41053,Unreliable,Unreliable
,"Benton County, AR",5007,37,249672,14.8,15.2
