Notes,County,County Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,"Baldwin County, AL",1003,26,182265,14.3,15
,"Blount County, AL",1009,10,57322,Unreliable,Unreliable
,"Calhoun County, AL",1015,21,118572,17.7,19.9
,"Chilton County, AL",1021,11,43643,Unreliable,Unreliable
,"Escambia County, AL",1053,10,38319,Unreliable,Unreliable
,"Etowah County, AL",1055,12,104430,Unreliable,Unreliable
,"Houston County, AL",1069,13,101547,Unreliable,Unreliable
,"Jefferson County, AL",1073,60,658466,9.1,9.2
,"Lauderdale County, AL",1077,11,92709,Unreliable,Unreliable
,"Limestone County, AL",1083,14,82782,Unreliable,Unreliable
,"Madison County, AL",1089,35,334811,10.5,10.3
,"Mobile County, AL",1097,45,412992,10.9,11.7
,"Montgomery County, AL",1101,18,229363,Unreliable,Unreliable
,"Morgan County, AL",1103,18,119490,Unreliable,Unreliable
,"St. Clair County, AL",1115,15,83593,Unreliable,Unreliable
,"Shelby County, AL",1117,26,195085,13.3,13.2
,"Tuscaloosa County, AL",1125,27,194656,13.9,13.9
,"Walker County, AL",1127,34,67023,50.7,52.3
,"Anchorage Borough, AK",2020,38,291826,13,12.4
,"Fairbanks North Star Borough, AK",2090,10,97581,Unreliable,Unreliable
,"Matanuska-Susitna Borough, AK",2170,10,88995,Unreliable,Unreliable
,"Cochise County, AZ",4003,24,131346,18.3,19.2
,"Coconino County, AZ",4005,18,134421,Unreliable,Unreliable
,"Gila County, AZ",4007,10,53597,Unreliable,Unreliable
,"Maricopa County, AZ",4013,609,3817117,16,16.1
,"Mohave County, AZ",4015,68,200186,34,36.5
,"Navajo County, AZ",4017,19,107449,Unreliable,Unreliable
,"Pima County, AZ",4019,205,980263,20.9,21.2
,"Pinal County, AZ",4021,51,375770,13.6,14.3
,"Yavapai County, AZ",4025,46,211033,21.8,24.9
,"Yuma County, AZ",4027,23,195751,11.7,13.4
,"Benton County, AR",5007,31,221339,14,14.7
,"Craighead County, AR",5031,13,96443,Unreliable,Unreliable
,"Crawford County, AR",5033,13,61948,Unreliable,Unreliable
,"Faulkner County, AR",5045,16,113237,Unreliable,Unreliable
,"Garland County, AR",5051,28,96024,29.2,27.7
,"Lonoke County, AR",5085,16,68356,Unreliable,Unreliable
,"Pope County, AR",5115,10,61754,Unreliable,Unreliable
,"Pulaski County, AR",5119,55,382748,14.4,14.4
,"Sebastian County, AR",5131,14,125744,Unreliable,Unreliable
,"Washington County, AR",5143,14,203065,Unreliable,Unreliable
,"Alameda County, CA",6001,132,1510271,8.7,8.1
,"Amador County, CA",6005,11,38091,Unreliable,Unreliable
,"Butte County, CA",6007,85,220000,38.6,39.5
,"Calaveras County, CA",6009,12,45578,Unreliable,Unreliable
,"Contra Costa County, CA",6013,93,1049025,8.9,8.3
,"El Dorado County, CA",6017,43,181058,23.7,21.6
,"Fresno County, CA",6019,104,930450,11.2,12
,"Humboldt County, CA",6023,48,134623,35.7,35.6
,"Imperial County, CA",6025,10,174528,Unreliable,Unreliable
,"Kern County, CA",6029,140,839631,16.7,17.4
,"Kings County, CA",6031,14,152982,Unreliable,Unreliable
,"Lake County, CA",6033,36,64665,55.7,49.9
,"Lassen County, CA",6035,12,34895,Unreliable,Unreliable
,"Los Angeles County, CA",6037,700,9818605,7.1,6.9
,"Madera County, CA",6039,20,150865,13.3,14
,"Marin County, CA",6041,35,252409,13.9,12.3
,"Mendocino County, CA",6045,19,87841,Unreliable,Unreliable
,"Merced County, CA",6047,29,255793,11.3,12.4
,"Monterey County, CA",6053,43,415057,10.4,10.2
,"Napa County, CA",6055,17,136484,Unreliable,Unreliable
,"Nevada County, CA",6057,14,98764,Unreliable,Unreliable
,"Orange County, CA",6059,313,3010232,10.4,10
,"Placer County, CA",6061,27,348432,7.7,6.7
,"Riverside County, CA",6065,255,2189641,11.6,11.9
,"Sacramento County, CA",6067,216,1418788,15.2,14.9
,"San Bernardino County, CA",6071,134,2035210,6.6,6.7
,"San Diego County, CA",6073,367,3095313,11.9,11.4
,"San Francisco County, CA",6075,170,805235,21.1,18.3
,"San Joaquin County, CA",6077,129,685306,18.8,19.2
,"San Luis Obispo County, CA",6079,40,269637,14.8,14.8
,"San Mateo County, CA",6081,55,718451,7.7,7.1
,"Santa Barbara County, CA",6083,48,423895,11.3,11.5
,"Santa Clara County, CA",6085,133,1781642,7.5,7.2
,"Santa Cruz County, CA",6087,47,262382,17.9,18.4
,"Shasta County, CA",6089,49,177223,27.6,26.6
,"Siskiyou County, CA",6093,13,44900,Unreliable,Unreliable
,"Solano County, CA",6095,52,413344,12.6,12.3
,"Sonoma County, CA",6097,83,483878,17.2,15.8
,"Stanislaus County, CA",6099,90,514453,17.5,17.9
,"Sutter County, CA",6101,18,94737,Unreliable,Unreliable
,"Tulare County, CA",6107,26,442179,5.9,6.7
,"Tuolumne County, CA",6109,18,55365,Unreliable,Unreliable
,"Ventura County, CA",6111,96,823318,11.7,11.4
,"Yolo County, CA",6113,15,200849,Unreliable,Unreliable
,"Adams County, CO",8001,66,441603,14.9,14.8
,"Arapahoe County, CO",8005,82,572003,14.3,13.9
,"Boulder County, CO",8013,23,294567,7.8,7.5
,"Denver County, CO",8031,127,600158,21.2,21.8
,"Douglas County, CO",8035,23,285465,8.1,9.5
,"El Paso County, CO",8041,79,622263,12.7,12.6
,"Jefferson County, CO",8059,57,534543,10.7,9.5
,"Larimer County, CO",8069,40,299630,13.3,13.1
,"Mesa County, CO",8077,22,146723,15,13.7
,"Pueblo County, CO",8101,23,159063,14.5,15.6
,"Weld County, CO",8123,28,252825,11.1,11.5
,"Fairfield County, CT",9001,61,916829,6.7,6.6
,"Hartford County, CT",9003,84,894014,9.4,9.5
,"Litchfield County, CT",9005,21,189927,11.1,11.3
,"Middlesex County, CT",9007,26,165676,15.7,15.7
,"New Haven County, CT",9009,116,862477,13.4,13.2
,"New London County, CT",9011,30,274055,10.9,11.1
,"Windham County, CT",9015,18,118428,Unreliable,Unreliable
,"Kent County, DE",10001,27,162310,16.6,18
,"New Castle County, DE",10003,84,538479,15.6,15.5
,"Sussex County, DE",10005,34,197145,17.2,19.4
,"District of Columbia, DC",11001,78,601723,13,12.9
,"Alachua County, FL",12001,25,247336,10.1,9.9
,"Bay County, FL",12005,27,168852,16,17.3
,"Brevard County, FL",12009,137,543376,25.2,27.5
,"Broward County, FL",12011,262,1748066,15,14.2
,"Charlotte County, FL",12015,11,159978,Unreliable,Unreliable
,"Citrus County, FL",12017,34,141236,24.1,31
,"Clay County, FL",12019,26,190865,13.6,13.7
,"Collier County, FL",12021,45,321520,14,15.8
,"Columbia County, FL",12023,18,67531,Unreliable,Unreliable
,"Duval County, FL",12031,149,864263,17.2,16.2
,"Escambia County, FL",12033,34,297619,11.4,12
,"Flagler County, FL",12035,13,95696,Unreliable,Unreliable
,"Hernando County, FL",12053,57,172778,33,39.1
,"Highlands County, FL",12055,13,98786,Unreliable,Unreliable
,"Hillsborough County, FL",12057,263,1229226,21.4,20.8
,"Indian River County, FL",12061,22,138028,15.9,16.6
