Notes,County,County Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,"Baldwin County, AL",1003,38,200111,19,20
,"Blount County, AL",1009,12,57719,Unreliable,Unreliable
,"Calhoun County, AL",1015,19,115916,Unreliable,Unreliable
,"Cullman County, AL",1043,30,81289,36.9,35.8
,"Elmore County, AL",1051,10,80977,Unreliable,Unreliable
,"Escambia County, AL",1053,13,37733,Unreliable,Unreliable
,"Etowah County, AL",1055,18,103531,Unreliable,Unreliable
,"Houston County, AL",1069,13,104193,Unreliable,Unreliable
,"Jefferson County, AL",1073,175,660793,26.5,26.5
,"Lee County, AL",1081,12,154255,Unreliable,Unreliable
,"Madison County, AL",1089,23,350299,6.6,7
,"Marshall County, AL",1095,21,94636,22.2,24.6
,"Mobile County, AL",1097,56,415123,13.5,13.6
,"Montgomery County, AL",1101,19,226189,Unreliable,Unreliable
,"Morgan County, AL",1103,12,119607,Unreliable,Unreliable
,"St. Clair County, AL",1115,34,86697,39.2,37.3
,"Shelby County, AL",1117,40,206655,19.4,18.5
,"Tuscaloosa County, AL",1125,24,202212,11.9,12.4
,"Walker County, AL",1127,22,65471,33.6,34.8
,"Anchorage Borough, AK",2020,58,301010,19.3,19.4
,"Fairbanks North Star Borough, AK",2090,17,99357,Unreliable,Unreliable
,"Kenai Peninsula Borough, AK",2122,10,57477,Unreliable,Unreliable
,"Matanuska-Susitna Borough, AK",2170,19,97882,Unreliable,Unreliable
,"Cochise County, AZ",4003,21,127448,16.5,16.2
,"Coconino County, AZ",4005,15,137682,Unreliable,Unreliable
,"Gila County, AZ",4007,18,53119,Unreliable,Unreliable
,"Maricopa County, AZ",4013,695,4087191,17,16.9
,"Mohave County, AZ",4015,58,203361,28.5,27
,"Navajo County, AZ",4017,26,108101,24.1,27.1
,"Pima County, AZ",4019,223,1004516,22.2,23.4
,"Pinal County, AZ",4021,33,401918,8.2,8.6
,"Yavapai County, AZ",4025,59,218844,27,29.2
,"Yuma County, AZ",4027,39,203247,19.2,21.4
,"Baxter County, AR",5005,11,40857,Unreliable,Unreliable
,"Benton County, AR",5007,35,242321,14.4,14.6
,"Crawford County, AR",5033,10,61697,Unreliable,Unreliable
,"Faulkner County, AR",5045,16,120768,Unreliable,Unreliable
,"Garland County, AR",5051,26,97322,26.7,31
,"Lonoke County, AR",5085,14,71557,Unreliable,Unreliable
,"Pulaski County, AR",5119,54,392702,13.8,13.9
,"Saline County, AR",5125,14,115719,Unreliable,Unreliable
,"Sebastian County, AR",5131,15,126776,Unreliable,Unreliable
,"Washington County, AR",5143,20,220792,9.1,9.2
,"Alameda County, CA",6001,165,1610921,10.2,9.4
,"Amador County, CA",6005,14,36742,Unreliable,Unreliable
,"Butte County, CA",6007,74,224241,33,31.1
,"Contra Costa County, CA",6013,126,1111339,11.3,10.7
,"El Dorado County, CA",6017,47,183087,25.7,23
,"Fresno County, CA",6019,129,965974,13.4,14.2
,"Humboldt County, CA",6023,43,134809,31.9,32.4
,"Imperial County, CA",6025,26,179091,14.5,15.6
,"Kern County, CA",6029,213,874589,24.4,24.8
,"Kings County, CA",6031,24,150269,16,16.8
,"Lake County, CA",6033,35,64184,54.5,49.5
,"Lassen County, CA",6035,13,31749,Unreliable,Unreliable
,"Los Angeles County, CA",6037,735,10116705,7.3,6.9
,"Madera County, CA",6039,22,154548,14.2,15.2
,"Marin County, CA",6041,18,260750,Unreliable,Unreliable
,"Mendocino County, CA",6045,25,87869,28.5,29
,"Merced County, CA",6047,30,266353,11.3,12.2
,"Monterey County, CA",6053,48,431344,11.1,11.4
,"Napa County, CA",6055,13,141667,Unreliable,Unreliable
,"Nevada County, CA",6057,20,98893,20.2,20.5
,"Orange County, CA",6059,372,3145515,11.8,11.2
,"Placer County, CA",6061,36,371694,9.7,9.3
,"Plumas County, CA",6063,11,18606,Unreliable,Unreliable
,"Riverside County, CA",6065,327,2329271,14,13.9
