Notes,County,County Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,"Baldwin County, AL",1003,32,179406,17.8,18.6
,"Blount County, AL",1009,11,57341,Unreliable,Unreliable
,"Calhoun County, AL",1015,15,118363,Unreliable,Unreliable
,"DeKalb County, AL",1049,14,70864,Unreliable,Unreliable
,"Escambia County, AL",1053,17,38249,Unreliable,Unreliable
,"Etowah County, AL",1055,15,104239,Unreliable,Unreliable
,"Houston County, AL",1069,11,100500,Unreliable,Unreliable
,"Jefferson County, AL",1073,95,658441,14.4,14.4
,"Lawrence County, AL",1079,10,34315,Unreliable,Unreliable
,"Lee County, AL",1081,11,138566,Unreliable,Unreliable
,"Limestone County, AL",1083,12,81326,Unreliable,Unreliable
,"Madison County, AL",1089,31,330856,9.4,9.2
,"Mobile County, AL",1097,61,411994,14.8,15.1
,"Montgomery County, AL",1101,12,227607,Unreliable,Unreliable
,"Morgan County, AL",1103,31,118954,26.1,27
,"St. Clair County, AL",1115,12,83009,Unreliable,Unreliable
,"Shelby County, AL",1117,32,192708,16.6,16.6
,"Tuscaloosa County, AL",1125,32,192792,16.6,18.6
,"Walker County, AL",1127,32,67347,47.5,52.7
,"Anchorage Borough, AK",2020,59,287677,20.5,19.3
,"Fairbanks North Star Borough, AK",2090,20,95238,21,22
,"Kenai Peninsula Borough, AK",2122,14,54796,Unreliable,Unreliable
,"Matanuska-Susitna Borough, AK",2170,19,86885,Unreliable,Unreliable
,"Cochise County, AZ",4003,19,130081,Unreliable,Unreliable
,"Coconino County, AZ",4005,17,133477,Unreliable,Unreliable
,"Gila County, AZ",4007,12,53561,Unreliable,Unreliable
,"Maricopa County, AZ",4013,566,3803779,14.9,15.1
,"Mohave County, AZ",4015,53,199696,26.5,30
,"Navajo County, AZ",4017,18,107571,Unreliable,Unreliable
,"Pima County, AZ",4019,178,975580,18.2,19.1
,"Pinal County, AZ",4021,47,349830,13.4,14
,"Yavapai County, AZ",4025,44,211172,20.8,21.7
,"Yuma County, AZ",4027,21,193714,10.8,11.8
,"Benton County, AR",5007,29,216620,13.4,14.1
,"Craighead County, AR",5031,20,95482,20.9,21.8
,"Crawford County, AR",5033,19,61595,Unreliable,Unreliable
,"Faulkner County, AR",5045,13,110813,Unreliable,Unreliable
,"Garland County, AR",5051,19,95840,Unreliable,Unreliable
,"Pulaski County, AR",5119,39,380053,10.3,10.2
,"Saline County, AR",5125,12,105362,Unreliable,Unreliable
,"Sebastian County, AR",5131,23,125116,18.4,19.4
,"Washington County, AR",5143,15,199774,Unreliable,Unreliable
,"White County, AR",5145,11,76284,Unreliable,Unreliable
,"Alameda County, CA",6001,147,1498539,9.8,9.2
,"Amador County, CA",6005,14,38238,Unreliable,Unreliable
,"Butte County, CA",6007,59,219777,26.8,29.4
,"Calaveras County, CA",6009,13,45900,Unreliable,Unreliable
,"Contra Costa County, CA",6013,96,1037890,9.2,8.5
,"El Dorado County, CA",6017,40,180455,22.2,20.4
,"Fresno County, CA",6019,113,921478,12.3,13
,"Humboldt County, CA",6023,42,133744,31.4,30.5
,"Imperial County, CA",6025,14,172008,Unreliable,Unreliable
,"Kern County, CA",6029,132,830137,15.9,16.8
,"Lake County, CA",6033,29,64413,45,41
,"Los Angeles County, CA",6037,770,9787400,7.9,7.7
,"Marin County, CA",6041,33,250862,13.2,11.7
,"Mendocino County, CA",6045,16,87722,Unreliable,Unreliable
,"Merced County, CA",6047,22,252302,8.7,9.6
,"Monterey County, CA",6053,37,410263,9,9.4
,"Napa County, CA",6055,14,135280,Unreliable,Unreliable
,"Nevada County, CA",6057,16,98591,Unreliable,Unreliable
,"Orange County, CA",6059,336,2987177,11.2,11
,"Placer County, CA",6061,41,343810,11.9,11.1
,"Riverside County, CA",6065,238,2146725,11.1,11.4
,"Sacramento County, CA",6067,246,1408601,17.5,17.1
,"San Bernardino County, CA",6071,137,2013960,6.8,7
,"San Diego County, CA",6073,368,3061203,12,11.8
,"San Francisco County, CA",6075,172,801922,21.4,18.7
,"San Joaquin County, CA",6077,118,677736,17.4,18.1
,"San Luis Obispo County, CA",6079,35,268145,13.1,12.6
,"San Mateo County, CA",6081,52,713617,7.3,6.9
,"Santa Barbara County, CA",6083,64,420356,15.2,15.8
,"Santa Clara County, CA",6085,115,1765137,6.5,6.2
,"Santa Cruz County, CA",6087,36,260009,13.8,12.9
,"Shasta County, CA",6089,57,177279,32.2,32.4
,"Solano County, CA",6095,44,410290,10.7,10.6
,"Sonoma County, CA",6097,59,479479,12.3,10.9
,"Stanislaus County, CA",6099,79,511536,15.4,16.2
,"Sutter County, CA",6101,13,94366,Unreliable,Unreliable
,"Tulare County, CA",6107,38,436987,8.7,10.3
,"Tuolumne County, CA",6109,18,55845,Unreliable,Unreliable
,"Ventura County, CA",6111,86,815130,10.6,10.6
,"Yolo County, CA",6113,16,199791,Unreliable,Unreliable
,"Adams County, CO",8001,71,435700,16.3,16.6
,"Arapahoe County, CO",8005,99,563161,17.6,16.9
,"Boulder County, CO",8013,46,293190,15.7,15
,"Denver County, CO",8031,169,589011,28.7,27.8
,"Douglas County, CO",8035,23,281386,8.2,8.6
,"El Paso County, CO",8041,82,608061,13.5,13.4
,"Garfield County, CO",8045,13,57089,Unreliable,Unreliable
,"Jefferson County, CO",8059,62,531961,11.7,11.2
,"Larimer County, CO",8069,43,296696,14.5,13.9
,"Mesa County, CO",8077,24,147851,16.2,17.2
,"Pueblo County, CO",8101,18,157846,Unreliable,Unreliable
,"Weld County, CO",8123,25,248193,10.1,10.5
,"Fairfield County, CT",9001,75,910421,8.2,8.1
,"Hartford County, CT",9003,89,891667,10,9.9
,"Litchfield County, CT",9005,21,190015,11.1,13.1
,"Middlesex County, CT",9007,15,165607,Unreliable,Unreliable
,"New Haven County, CT",9009,122,860025,14.2,14.1
,"New London County, CT",9011,38,273630,13.9,13.5
,"Tolland County, CT",9013,16,152330,Unreliable,Unreliable
,"Windham County, CT",9015,17,118112,Unreliable,Unreliable
,"Kent County, DE",10001,24,160081,15,15.8
,"New Castle County, DE",10003,80,536898,14.9,14.7
,"Sussex County, DE",10005,32,194751,16.4,17.8
,"District of Columbia, DC",11001,26,592228,4.4,4.1
,"Alachua County, FL",12001,29,246657,11.8,13.1
,"Bay County, FL",12005,23,167464,13.7,13.5
,"Brevard County, FL",12009,137,542109,25.3,26.1
,"Broward County, FL",12011,306,1733310,17.7,16.8
,"Citrus County, FL",12017,27,141381,19.1,24.2
,"Clay County, FL",12019,39,189101,20.6,21.1
,"Collier County, FL",12021,54,318485,17,19.7
,"Columbia County, FL",12023,11,67412,Unreliable,Unreliable
,"Duval County, FL",12031,137,859795,15.9,15.6
,"Escambia County, FL",12033,24,297015,8.1,7.8
,"Hernando County, FL",12053,51,171950,29.7,35.9
,"Highlands County, FL",12055,13,98956,Unreliable,Unreliable
,"Hillsborough County, FL",12057,273,1214050,22.5,21.8
,"Indian River County, FL",12061,32,137016,23.4,26.4
,"Lake County, FL",12069,35,295511,11.8,13.2
,"Lee County, FL",12071,95,612297,15.5,17.6
,"Leon County, FL",12073,11,273263,Unreliable,Unreliable
,"Manatee County, FL",12081,76,320711,23.7,25.7
,"Marion County, FL",12083,62,330880,18.7,20.8
,"Martin County, FL",12085,30,145506,20.6,21.6
,"Miami-Dade County, FL",12086,155,2463943,6.3,6
,"Nassau County, FL",12089,10,72671,Unreliable,Unreliable
,"Okaloosa County, FL",12091,24,181153,13.2,12.6
,"Okeechobee County, FL",12093,11,39899,Unreliable,Unreliable
,"Orange County, FL",12095,128,1131351,11.3,10.9
,"Osceola County, FL",12097,19,265267,Unreliable,Unreliable
,"Palm Beach County, FL",12099,276,1307371,21.1,22.1
,"Pasco County, FL",12101,169,462607,36.5,39.6
,"Pinellas County, FL",12103,265,915330,29,29.2
,"Polk County, FL",12105,107,598683,17.9,18.8
,"Putnam County, FL",12107,10,74546,Unreliable,Unreliable
,"St. Johns County, FL",12109,13,186281,Unreliable,Unreliable
,"St. Lucie County, FL",12111,53,274344,19.3,19.8
,"Santa Rosa County, FL",12113,16,149544,Unreliable,Unreliable
,"Sarasota County, FL",12115,77,377262,20.4,25.6
,"Seminole County, FL",12117,73,419788,17.4,16.7
,"Volusia County, FL",12127,109,494688,22,24.2
,"Walton County, FL",12131,12,54534,Unreliable,Unreliable
,"Barrow County, GA",13013,11,68548,Unreliable,Unreliable
,"Bartow County, GA",13015,11,99807,Unreliable,Unreliable
,"Bibb County, GA",13021,14,155154,Unreliable,Unreliable
,"Carroll County, GA",13045,29,110433,26.3,27.5
,"Chatham County, GA",13051,22,262122,8.4,9.1
,"Cherokee County, GA",13057,21,212232,9.9,10.5
,"Clayton County, GA",13063,22,260067,8.5,9.3
,"Cobb County, GA",13067,78,684776,11.4,10.8
,"Coweta County, GA",13077,20,125501,15.9,16.4
,"DeKalb County, GA",13089,43,690658,6.2,6.1
,"Fayette County, GA",13113,15,105493,Unreliable,Unreliable
,"Forsyth County, GA",13117,14,171993,Unreliable,Unreliable
,"Fulton County, GA",13121,81,905511,8.9,8.4
